artifact,kind,active,chapter,editable_source,data_dependencies,provenance,notes,font,conventions
figs/fig_census_psd_lower.pdf,pdf,yes,9,WVURAIL/pilot-proxy:analysis/dissertation/figures.py::fig_census_psd_lower,evidence/canfar_archive_health_v1/dissertation_exports/census_psd.csv,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,health-v1 lower-band census export corrects the exactly reconstructible aggregate contribution of excluded constant-ceiling frames; byte-reproducible under SOURCE_DATE_EPOCH,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_dirichlet_duality.pdf,pdf,yes,4,figure_src/detector_figures.py::fig_dirichlet_duality,none,analytic calculation,numpy sinc response,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figure_src/tikz/pipeline_chain.tikz,tikz,yes,5,figure_src/tikz/pipeline_chain.tikz,figure_src/tikz/figure_styles.tikz,native TikZ source,included directly from chapters/ch05_pipeline.tex,Latin Modern inherited from dissertation,shared TikZ semantic palette; dissertation typography
figs/fig_model_calibration_layers.pdf,pdf,yes,5,figure_src/framework_figures.py::fig_model_calibration_layers,none,analytic schematic,evidence and calibration boundary,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_estimator_transfer_digital.pdf,pdf,yes,5,WVURAIL/pilot-proxy:src/pilot_proxy/testbench/plot_results.py::plot_summary,evidence/estimator_transfer_20260825/data/plot_points.csv;evidence/estimator_transfer_20260825/data/analysis.json;evidence/estimator_transfer_20260825/run/source_provenance.json,vendored byte-identical PDF from an immediately post-run archival snapshot authenticated by evidence/estimator_transfer_20260825/release_manifest.json,threshold-free coarse-estimator transfer across 41 input levels; 9000 trials pooled without smoothing,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_ota_estimator_transfer.pdf,pdf,yes,5,WVURAIL/pilot-proxy:src/pilot_proxy/testbench/plot_results.py::plot_summary,evidence/sdr_ota_transfer_20260825/data/plot_points.csv;evidence/sdr_ota_transfer_20260825/data/analysis.json;evidence/sdr_ota_transfer_20260825/data/qc.json;evidence/sdr_ota_transfer_20260825/run/source_provenance.json,vendored byte-identical PDF from an immediately post-run archival snapshot authenticated by evidence/sdr_ota_transfer_20260825/release_manifest.json,threshold-free LimeSDR transfer across 15 commanded input levels and 30 passes; pass-bootstrap intervals; no smoothing,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_worked_example.pdf,pdf,yes,6,WVURAIL/pilot-proxy:analysis/dissertation/figures.py::fig_worked_example,external,vendored PDF rendered by WVURAIL/pilot-proxy@b533632b5d014486559f36ff5c006216e43a6b56,generated in the owning repository from its committed tables; content-reproducible there under SOURCE_DATE_EPOCH modulo PDF font-subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figure_src/tikz/fused_kernel.tikz,tikz,yes,6,figure_src/tikz/fused_kernel.tikz,figure_src/tikz/figure_styles.tikz,native TikZ source,included directly from chapters/ch06_implementation.tex,Latin Modern inherited from dissertation,shared TikZ semantic palette; dissertation typography
figs/fig_survey_evidence_flow.pdf,pdf,yes,7,figure_src/framework_figures.py::fig_survey_evidence_flow,none,analytic schematic,PilotProxy archive evidence and holdout flow,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_epoch_operating_points.pdf,pdf,yes,8,WVURAIL/pilot-proxy:analysis/dissertation/figures.py::fig_epoch_operating_points,external,vendored PDF rendered by WVURAIL/pilot-proxy@b533632b5d014486559f36ff5c006216e43a6b56,generated in the owning repository from its committed tables; content-reproducible there under SOURCE_DATE_EPOCH modulo PDF font-subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_footprint.pdf,pdf,yes,9,figure_src/forecast_figures.py::fig_bao_footprint,none,analytic schematic,coarse-bin footprint geometry; heights are schematic,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_time_vs_masking.pdf,pdf,yes,9,WVURAIL/RFIsher:scripts/dissertation/figures.py::fig_bao_time_vs_masking,external,vendored byte-reproducible PDF rendered by WVURAIL/RFIsher@2603788363c187ae37a74226d78f394a716b803d,generated from the producer's committed masking-cost curve and reference tables; stable PDF subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_residual_chain_audit.pdf,pdf,yes,9,figure_src/framework_figures.py::fig_residual_chain_audit,none,analytic schematic,measured/model gates,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_the_case.pdf,pdf,yes,9,WVURAIL/RFIsher:scripts/dissertation/figures.py::fig_bao_the_case,external,vendored byte-reproducible PDF rendered by WVURAIL/RFIsher@2603788363c187ae37a74226d78f394a716b803d,generated from the producer's committed table with stable PDF subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_convergence.pdf,pdf,yes,9,WVURAIL/RFIsher:scripts/dissertation/figures.py::fig_bao_convergence,external,vendored byte-reproducible PDF rendered by WVURAIL/RFIsher@2603788363c187ae37a74226d78f394a716b803d,its table remains a legacy-artwork bridge pending direct regeneration; stable PDF subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_two_walls.pdf,pdf,yes,9,WVURAIL/RFIsher:scripts/dissertation/figures.py::fig_bao_two_walls,external,vendored byte-reproducible PDF rendered by WVURAIL/RFIsher@2603788363c187ae37a74226d78f394a716b803d,its table is regenerated directly from survey products and the current era export; bridge retired; stable PDF subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_deployment_lifecycle.pdf,pdf,yes,10,figure_src/framework_figures.py::fig_deployment_lifecycle,none,analytic schematic,real-time API lifecycle,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_channel_status_matrix.pdf,pdf,yes,11,WVURAIL/pilot-proxy:analysis/dissertation/figures.py::fig_channel_status_matrix,external,vendored PDF rendered by WVURAIL/pilot-proxy@639d03ffd6909a40d6e7318de5d2cfa0b3995946,generated in the owning repository from its committed tables; content-reproducible there under SOURCE_DATE_EPOCH modulo PDF font-subset tags,Latin Modern rendered through LaTeX,shared measured/model/conditional/failure/pending palette; 6.35-in canvas
figs/fig_bao_template_tolerances.pdf,pdf,yes,9,WVURAIL/RFIsher:scripts/render_forecast_template_assets.py,evidence/bao_forecast_completion_20260824_reconciliation/forecast_completion_template_comparison.csv;evidence/bao_forecast_completion_20260824_reconciliation/forecast_completion_channel_mapping.csv,vendored byte-reproducible PDF rendered by WVURAIL/RFIsher@3c806c2e435baccc3195618f4ab1ce55aa5887c2,all-seven-bin four-family analytic forecast comparison authenticated by evidence/bao_forecast_completion_20260824_reconciliation/forecast_completion_release_manifest.json; stable PDF subset tags,Latin Modern Type 1 rendered through LaTeX with deterministic metadata,shared measured/model/conditional/failure/pending palette; physical ATSC channels 14--36
figs/archive_health_v1/channel_14_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 14 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_15_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 15 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_16_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 16 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_17_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 17 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_18_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 18 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_19_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 19 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_20_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 20 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_21_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 21 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_22_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 22 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_23_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 23 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_24_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 24 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_25_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 25 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_26_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 26 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_27_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 27 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_28_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 28 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_29_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 29 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_30_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 30 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_31_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 31 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_32_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 32 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_33_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 33 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_34_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 34 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_35_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 35 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
figs/archive_health_v1/channel_36_diagnostic_atlas.pdf,pdf,yes,C,WVURAIL/pilot-proxy:src/pilot_proxy/archive_health.py::_plot_product_diagnostics,evidence/canfar_archive_health_v1/archive_health_summary.json;evidence/canfar_archive_health_v1/health_corrected_integrated_spectra.npz,vendored PDF rendered by WVURAIL/pilot-proxy@2cf4d8cdc94a2beb2299f2b7ece0dcfe2662c6ee,one-page channel 36 composite with vector histogram and relative-spectrum panels plus declared embedded raster fine-F UTC heatmap; authenticated by evidence/canfar_archive_health_v1/diagnostic_manifest.json,Latin Modern rendered through LaTeX,health gate v1; retrospective fine-anchor states; relative rather than absolute spectral power
